Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Chymotrypsin CID,Coverage (%) Chymotrypsin EtHCD,Coverage (%) Tryspsin CID,Coverage (%) Trypsin EtHCD,Area Chymotrypsin CID,Area Chymotrypsin EtHCD,Area Tryspsin CID,Area Trypsin EtHCD,#Peptides,#Unique,#Spec Chymotrypsin CID,#Spec Chymotrypsin EtHCD,#Spec Tryspsin CID,#Spec Trypsin EtHCD,PTM,Avg. Mass,Description
2,10,P04264|K2C1_HUMAN,609.45,97,91,81,92,83,1.0307E10,1.2247E10,3.0132E10,3.486E10,704,597,687,475,1865,955,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 58 more,66039,Keratin  type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6
4,3,P35527|K1C9_HUMAN,606.16,99,95,85,95,84,1.1491E10,1.4164E10,2.1608E10,2.4656E10,554,546,703,406,1661,891,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 56 more,62064,Keratin  type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3
1,29,P07911|UROM_HUMAN,570.49,93,91,85,84,82,1.4516E11,1.713E11,5.6239E10,5.8826E10,832,827,1302,895,1902,1157,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 59 more,69761,Uromodulin OS=Homo sapiens OX=9606 GN=UMOD PE=1 SV=1
11,12,P35908|K22E_HUMAN,569.11,100,87,74,97,87,2.6195E9,2.617E9,6.6972E9,6.4473E9,486,389,337,207,992,448,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 47 more,65433,Keratin  type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2
9,2,P13645|K1C10_HUMAN,557.64,98,95,84,80,76,6.4304E9,6.3212E9,1.0671E10,1.2559E10,452,375,559,329,1026,599,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 52 more,58827,Keratin  type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6
18,24,P06396|GELS_HUMAN,529.22,89,72,70,65,61,1.2801E10,1.6918E10,2.271E9,2.4965E9,362,357,444,326,351,192,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 22 more,85697,Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1
15,32,P01833|PIGR_HUMAN,527.02,79,76,71,69,67,6.0506E9,7.495E9,8.4634E9,8.2517E9,448,447,354,277,593,290,Acetylation (N-term); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 32 more,83284,Polymeric immunoglobulin receptor OS=Homo sapiens OX=9606 GN=PIGR PE=1 SV=4
22,34,P12109|CO6A1_HUMAN,514.13,77,60,54,64,58,5.4314E9,6.9113E9,1.74E9,1.7384E9,377,376,392,301,246,125,Acetylation (N-term); Oxidation (M); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 20 more,108529,Collagen alpha-1(VI) chain OS=Homo sapiens OX=9606 GN=COL6A1 PE=1 SV=3
7,18,P0DOX5|IGG1_HUMAN,513.51,93,80,74,76,80,7.7663E7,,6.1048E7,6.2494E6,455,11,591,481,899,640,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 62 more,49329,Immunoglobulin gamma-1 heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2
31,42,Q5SZK8|FREM2_HUMAN,512.90,73,55,40,46,33,9.2029E8,9.072E8,3.2039E8,3.031E8,390,389,297,148,217,113,Acetylation (N-term); Oxidation (M); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 11 more,351157,FRAS1-related extracellular matrix protein 2 OS=Homo sapiens OX=9606 GN=FREM2 PE=1 SV=2
