Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) THP from IP Exploris FAIMS,Area THP from IP Exploris FAIMS,#Peptides,#Unique,#Spec THP from IP Exploris FAIMS,PTM,Avg. Mass,Description
5,1,P35527|K1C9_HUMAN,351.57,92,92,6.5355E10,260,258,2682,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 64 more,62064,Keratin  type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3
3,6,P04264|K2C1_HUMAN,347.94,92,92,9.6402E10,391,323,3418,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 83 more,66039,Keratin  type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6
1,8,P07911|UROM_HUMAN,345.76,91,91,2.2648E11,472,471,4899,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 100 more,69761,Uromodulin OS=Homo sapiens OX=9606 GN=UMOD PE=1 SV=1
7,20,P0DOX5|IGG1_HUMAN,296.61,89,89,7.8001E7,264,12,2374,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 90 more,49329,Immunoglobulin gamma-1 heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2
14,26,P35908|K22E_HUMAN,295.14,95,95,1.8504E10,270,207,1408,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 51 more,65433,Keratin  type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2
15,24,P01833|PIGR_HUMAN,294.88,72,72,2.7957E10,223,222,1044,Acetylation (N-term); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 40 more,83284,Polymeric immunoglobulin receptor OS=Homo sapiens OX=9606 GN=PIGR PE=1 SV=4
9,22,P01857|IGHG1_HUMAN,292.76,98,98,,234,0,2328,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 88 more,36106,Immunoglobulin heavy constant gamma 1 OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=1
4,37,P01859|IGHG2_HUMAN,287.43,98,98,4.8846E10,233,115,2842,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 79 more,35901,Immunoglobulin heavy constant gamma 2 OS=Homo sapiens OX=9606 GN=IGHG2 PE=1 SV=2
10,31,P13645|K1C10_HUMAN,285.38,73,73,2.6403E10,217,173,1499,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 56 more,58827,Keratin  type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6
31,10,P01133|EGF_HUMAN,284.34,64,64,7.9724E9,157,157,496,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 16 more,133994,Pro-epidermal growth factor OS=Homo sapiens OX=9606 GN=EGF PE=1 SV=2
18,11,P08571|CD14_HUMAN,282.56,87,87,2.4535E10,180,179,738,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 45 more,40076,Monocyte differentiation antigen CD14 OS=Homo sapiens OX=9606 GN=CD14 PE=1 SV=2
